,Duration,Rental Id
,sum,count
Start Date,,
27/06/2014,54128280.0,35533
28/06/2014,41246040.0,19890
29/06/2014,55102260.0,26338
30/06/2014,39409440.0,31852
20/07/2014,75247620.0,33843
21/07/2014,59013720.0,38046
22/07/2014,75533400.0,42410
23/07/2014,66952440.0,42021
24/07/2014,61943640.0,41982
25/07/2014,44233740.0,31458
26/07/2014,86929560.0,43080
27/07/2014,85047360.0,39295
28/07/2014,58863840.0,35834
29/07/2014,60460560.0,41874
30/07/2014,64305120.0,42566
31/07/2014,60914220.0,41441
01/08/2014,60383880.0,39078
02/08/2014,79059600.0,37084
03/08/2014,95467380.0,41044
04/08/2014,59270820.0,39049
05/08/2014,58774740.0,39768
06/08/2014,52496040.0,37792
07/08/2014,64536480.0,41552
08/08/2014,49031040.0,33375
09/08/2014,110171400.0,46375
10/08/2014,42447780.0,23331
11/08/2014,39603060.0,30946
12/08/2014,41718780.0,33898
13/08/2014,48344400.0,36903
14/08/2014,31902780.0,26429
15/08/2014,40183740.0,31489
16/08/2014,83856840.0,46505
17/08/2014,85127340.0,39247
18/08/2014,42283320.0,30389
19/08/2014,47646720.0,34954
20/08/2014,58127160.0,36415
21/08/2014,44253240.0,32845
22/08/2014,47126940.0,33572
23/08/2014,63702000.0,29539
24/08/2014,72669360.0,30440
25/08/2014,13839720.0,6078
26/08/2014,23474400.0,18217
27/08/2014,43072800.0,31872
28/08/2014,44298180.0,31481
29/08/2014,44441160.0,31980
30/08/2014,53612040.0,30340
31/08/2014,64375680.0,32795
01/09/2014,32549520.0,27124
02/09/2014,47021220.0,36538
03/09/2014,43705740.0,36130
04/09/2014,41006940.0,35077
05/09/2014,41934300.0,34547
06/09/2014,56484420.0,32861
07/09/2014,64383480.0,33739
08/09/2014,48731700.0,36686
09/09/2014,42799680.0,37345
10/09/2014,41054700.0,36743
11/09/2014,38586780.0,34957
12/09/2014,43724040.0,36714
13/09/2014,52567260.0,33675
01/02/2014,21078060.0,13724
05/01/2014,20797740.0,9003
06/01/2014,12606060.0,12942
07/01/2014,19255080.0,17267
08/01/2014,25271940.0,19553
09/01/2014,20580240.0,18969
10/01/2014,20624580.0,18593
11/01/2014,31082280.0,15394
12/01/2014,22106940.0,11789
13/01/2014,16671060.0,17541
14/01/2014,22616880.0,20528
15/01/2014,17497200.0,19036
16/01/2014,17827560.0,18697
17/01/2014,20260920.0,17255
18/01/2014,28644540.0,15070
19/01/2014,28937100.0,15803
20/01/2014,23544060.0,20996
21/01/2014,23650440.0,21512
22/01/2014,20897940.0,20828
23/01/2014,21986760.0,19844
24/01/2014,19133220.0,19042
25/01/2014,25376400.0,14329
26/01/2014,11095740.0,6965
27/01/2014,19763220.0,18130
28/01/2014,20693580.0,19729
29/01/2014,9766680.0,10483
30/01/2014,15702600.0,16839
31/01/2014,13755720.0,13662
